"lemma","definition"
"blue cohosh","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"blueberry root","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"caulophyllum thalictrioides","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"caulophyllum thalictroides","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"papoose root","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"papooseroot","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"squaw root","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"squawroot","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"bay","small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors"
"bay laurel","small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors"
"bay tree","small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors"
"laurus nobilis","small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors"
"true laurel","small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors"
"coumarouna odorata","tall tropical South American tree having pulpy egg-shaped pods of fragrant black almond-shaped seeds used for flavoring"
"dipteryx odorata","tall tropical South American tree having pulpy egg-shaped pods of fragrant black almond-shaped seeds used for flavoring"
"tonka bean","tall tropical South American tree having pulpy egg-shaped pods of fragrant black almond-shaped seeds used for flavoring"
"tonka bean tree","tall tropical South American tree having pulpy egg-shaped pods of fragrant black almond-shaped seeds used for flavoring"
"melilotus officinalis","biennial yellow-flowered Eurasian plant having aromatic leaves used as carminative or flavoring agent; widely cultivated especially as green manure or cover crop"
"yellow sweet clover","biennial yellow-flowered Eurasian plant having aromatic leaves used as carminative or flavoring agent; widely cultivated especially as green manure or cover crop"
"aralia hispida","bristly herb of eastern and central North America having black fruit and medicinal bark"
"bristly sarsaparilla","bristly herb of eastern and central North America having black fruit and medicinal bark"
"bristly sarsparilla","bristly herb of eastern and central North America having black fruit and medicinal bark"
"dwarf elder","bristly herb of eastern and central North America having black fruit and medicinal bark"
"ginseng","Chinese herb with palmately compound leaves and small greenish flowers and forked aromatic roots believed to have medicinal powers"
"nin-sin","Chinese herb with palmately compound leaves and small greenish flowers and forked aromatic roots believed to have medicinal powers"
"panax ginseng","Chinese herb with palmately compound leaves and small greenish flowers and forked aromatic roots believed to have medicinal powers"
"panax pseudoginseng","Chinese herb with palmately compound leaves and small greenish flowers and forked aromatic roots believed to have medicinal powers"
"panax schinseng","Chinese herb with palmately compound leaves and small greenish flowers and forked aromatic roots believed to have medicinal powers"
"fumaria officinalis","delicate European herb with greyish leaves and spikes of purplish flowers; formerly used medicinally"
"fumeroot","delicate European herb with greyish leaves and spikes of purplish flowers; formerly used medicinally"
"fumewort","delicate European herb with greyish leaves and spikes of purplish flowers; formerly used medicinally"
"fumitory","delicate European herb with greyish leaves and spikes of purplish flowers; formerly used medicinally"
"arctium lappa","burdock having heart-shaped leaves found in open woodland, hedgerows and rough grassland of Europe (except extreme N) and Asia Minor; sometimes cultivated for medicinal and culinary use"
"cocklebur","burdock having heart-shaped leaves found in open woodland, hedgerows and rough grassland of Europe (except extreme N) and Asia Minor; sometimes cultivated for medicinal and culinary use"
"great burdock","burdock having heart-shaped leaves found in open woodland, hedgerows and rough grassland of Europe (except extreme N) and Asia Minor; sometimes cultivated for medicinal and culinary use"
"greater burdock","burdock having heart-shaped leaves found in open woodland, hedgerows and rough grassland of Europe (except extreme N) and Asia Minor; sometimes cultivated for medicinal and culinary use"
"calendula","any of numerous chiefly annual herbs of the genus Calendula widely cultivated for their yellow or orange flowers; often used for medicinal and culinary purposes"
"chop-suey greens","grown for its succulent edible leaves used in Asian cooking"
"chrysanthemum coronarium spatiosum","grown for its succulent edible leaves used in Asian cooking"
"shun giku","grown for its succulent edible leaves used in Asian cooking"
"tong ho","grown for its succulent edible leaves used in Asian cooking"
"erigeron","cosmopolitan genus of usually perennial herbs with flowers that resemble asters; leaves occasionally (especially formerly) used medicinally"
"genus erigeron","cosmopolitan genus of usually perennial herbs with flowers that resemble asters; leaves occasionally (especially formerly) used medicinally"
"elecampane","tall coarse Eurasian herb having daisylike yellow flowers with narrow petals whose rhizomatous roots are used medicinally"
"inula helenium","tall coarse Eurasian herb having daisylike yellow flowers with narrow petals whose rhizomatous roots are used medicinally"
"german chamomile","annual Eurasian herb similar in fragrance and medicinal uses to chamomile though taste is more bitter and effect is considered inferior"
"matricaria chamomilla","annual Eurasian herb similar in fragrance and medicinal uses to chamomile though taste is more bitter and effect is considered inferior"
"matricaria recutita","annual Eurasian herb similar in fragrance and medicinal uses to chamomile though taste is more bitter and effect is considered inferior"
"sweet false chamomile","annual Eurasian herb similar in fragrance and medicinal uses to chamomile though taste is more bitter and effect is considered inferior"
"wild chamomile","annual Eurasian herb similar in fragrance and medicinal uses to chamomile though taste is more bitter and effect is considered inferior"
"alecost","tansy-scented Eurasian perennial herb with buttonlike yellow flowers; used as potherb or salad green and sometimes for potpourri or tea or flavoring; sometimes placed in genus Chrysanthemum"
"balsam herb","tansy-scented Eurasian perennial herb with buttonlike yellow flowers; used as potherb or salad green and sometimes for potpourri or tea or flavoring; sometimes placed in genus Chrysanthemum"
"bible leaf","tansy-scented Eurasian perennial herb with buttonlike yellow flowers; used as potherb or salad green and sometimes for potpourri or tea or flavoring; sometimes placed in genus Chrysanthemum"
"chrysanthemum balsamita","tansy-scented Eurasian perennial herb with buttonlike yellow flowers; used as potherb or salad green and sometimes for potpourri or tea or flavoring; sometimes placed in genus Chrysanthemum"
"costmary","tansy-scented Eurasian perennial herb with buttonlike yellow flowers; used as potherb or salad green and sometimes for potpourri or tea or flavoring; sometimes placed in genus Chrysanthemum"
"mint geranium","tansy-scented Eurasian perennial herb with buttonlike yellow flowers; used as potherb or salad green and sometimes for potpourri or tea or flavoring; sometimes placed in genus Chrysanthemum"
"tanacetum balsamita","tansy-scented Eurasian perennial herb with buttonlike yellow flowers; used as potherb or salad green and sometimes for potpourri or tea or flavoring; sometimes placed in genus Chrysanthemum"
"chrysanthemum parthenium","bushy aromatic European perennial herb having clusters of buttonlike white-rayed flower heads; valued traditionally for medicinal uses; sometimes placed in genus Chrysanthemum"
"feverfew","bushy aromatic European perennial herb having clusters of buttonlike white-rayed flower heads; valued traditionally for medicinal uses; sometimes placed in genus Chrysanthemum"
"tanacetum parthenium","bushy aromatic European perennial herb having clusters of buttonlike white-rayed flower heads; valued traditionally for medicinal uses; sometimes placed in genus Chrysanthemum"
"golden buttons","common perennial aromatic herb native to Eurasia having buttonlike yellow flower heads and bitter-tasting pinnate leaves sometimes used medicinally"
"scented fern","common perennial aromatic herb native to Eurasia having buttonlike yellow flower heads and bitter-tasting pinnate leaves sometimes used medicinally"
"tanacetum vulgare","common perennial aromatic herb native to Eurasia having buttonlike yellow flower heads and bitter-tasting pinnate leaves sometimes used medicinally"
"tansy","common perennial aromatic herb native to Eurasia having buttonlike yellow flower heads and bitter-tasting pinnate leaves sometimes used medicinally"
"coltsfoot","perennial herb with large rounded leaves resembling a colt's foot and yellow flowers appearing before the leaves do; native to Europe but now nearly cosmopolitan; used medicinally especially formerly"
"tussilago farfara","perennial herb with large rounded leaves resembling a colt's foot and yellow flowers appearing before the leaves do; native to Europe but now nearly cosmopolitan; used medicinally especially formerly"
"vanillin","a crystalline compound found in vanilla beans and some balsam resins; used in perfumes and flavorings"
"jellyleaf","herb widely distributed in tropics and subtropics used for forage and medicinally as a demulcent and having a fine soft bast stronger than jute; sometimes an aggressive weed"
"queensland hemp","herb widely distributed in tropics and subtropics used for forage and medicinally as a demulcent and having a fine soft bast stronger than jute; sometimes an aggressive weed"
"sida rhombifolia","herb widely distributed in tropics and subtropics used for forage and medicinally as a demulcent and having a fine soft bast stronger than jute; sometimes an aggressive weed"
"herb","a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests"
"herbaceous plant","a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests"
"simple","any herbaceous plant having medicinal properties"
"alpinia officinalis","Chinese perennial with pyramidal racemes of white flowers and pungent aromatic roots used medicinally and as flavoring"
"alpinia officinarum","Chinese perennial with pyramidal racemes of white flowers and pungent aromatic roots used medicinally and as flavoring"
"lesser galangal","Chinese perennial with pyramidal racemes of white flowers and pungent aromatic roots used medicinally and as flavoring"
"caryocar nuciferum","large South American evergreen tree trifoliate leaves and drupes with nutlike seeds used as food and a source of cooking oil"
"souari","large South American evergreen tree trifoliate leaves and drupes with nutlike seeds used as food and a source of cooking oil"
"souari nut","large South American evergreen tree trifoliate leaves and drupes with nutlike seeds used as food and a source of cooking oil"
"souari tree","large South American evergreen tree trifoliate leaves and drupes with nutlike seeds used as food and a source of cooking oil"
"crocus sativus","Old World crocus having purple or white flowers with aromatic pungent orange stigmas used in flavoring food"
"saffron","Old World crocus having purple or white flowers with aromatic pungent orange stigmas used in flavoring food"
"saffron crocus","Old World crocus having purple or white flowers with aromatic pungent orange stigmas used in flavoring food"
"allium porrum","plant having a large slender white bulb and flat overlapping dark green leaves; used in cooking; believed derived from the wild Allium ampeloprasum"
"leek","plant having a large slender white bulb and flat overlapping dark green leaves; used in cooking; believed derived from the wild Allium ampeloprasum"
"scallion","plant having a large slender white bulb and flat overlapping dark green leaves; used in cooking; believed derived from the wild Allium ampeloprasum"
"sarsaparilla root","dried root of any of various plants of the genus Smilax used as a flavoring agent"
"cassia marilandica","North American perennial herb; leaves are used medicinally; sometimes placed in genus Cassia"
"senna marilandica","North American perennial herb; leaves are used medicinally; sometimes placed in genus Cassia"
"wild senna","North American perennial herb; leaves are used medicinally; sometimes placed in genus Cassia"
"anthyllis vulneraria","perennial Eurasian herb having heads of red or yellow flowers and common in meadows and pastures; formerly used medicinally for kidney disorders"
"kidney vetch","perennial Eurasian herb having heads of red or yellow flowers and common in meadows and pastures; formerly used medicinally for kidney disorders"
"licorice root","root of licorice used in flavoring e.g. candy and liqueurs and medicines"
"fenugreek","annual herb or southern Europe and eastern Asia having off-white flowers and aromatic seeds used medicinally and in curry"
"greek clover","annual herb or southern Europe and eastern Asia having off-white flowers and aromatic seeds used medicinally and in curry"
"trigonella foenumgraecum","annual herb or southern Europe and eastern Asia having off-white flowers and aromatic seeds used medicinally and in curry"
"cohune-nut oil","semisolid fat from nuts of the cohune palm; used in cooking and soap making"
"cohune fat","semisolid fat from nuts of the cohune palm; used in cooking and soap making"
"cohune oil","semisolid fat from nuts of the cohune palm; used in cooking and soap making"
"amygdalus communis amara","almond trees having white blossoms and poisonous nuts yielding an oil used for flavoring and for medicinal purposes"
"bitter almond","almond trees having white blossoms and poisonous nuts yielding an oil used for flavoring and for medicinal purposes"
"prunus dulcis amara","almond trees having white blossoms and poisonous nuts yielding an oil used for flavoring and for medicinal purposes"
"genus rubia","type genus of the Rubiaceae; Old World herbs and subshrubs grown for their medicinal properties and for dye substances extracted from their roots"
"rubia","type genus of the Rubiaceae; Old World herbs and subshrubs grown for their medicinal properties and for dye substances extracted from their roots"
"asperula odorata","Old World fragrant stoloniferous perennial having small white flowers and narrow leaves used as flavoring and in sachets; widely cultivated as a ground cover; in some classifications placed in genus Asperula"
"fragrant bedstraw","Old World fragrant stoloniferous perennial having small white flowers and narrow leaves used as flavoring and in sachets; widely cultivated as a ground cover; in some classifications placed in genus Asperula"
"galium odoratum","Old World fragrant stoloniferous perennial having small white flowers and narrow leaves used as flavoring and in sachets; widely cultivated as a ground cover; in some classifications placed in genus Asperula"
"sweet woodruff","Old World fragrant stoloniferous perennial having small white flowers and narrow leaves used as flavoring and in sachets; widely cultivated as a ground cover; in some classifications placed in genus Asperula"
"waldmeister","Old World fragrant stoloniferous perennial having small white flowers and narrow leaves used as flavoring and in sachets; widely cultivated as a ground cover; in some classifications placed in genus Asperula"
"woodruff","Old World fragrant stoloniferous perennial having small white flowers and narrow leaves used as flavoring and in sachets; widely cultivated as a ground cover; in some classifications placed in genus Asperula"
"common horehound","European aromatic herb with hairy leaves and numerous white flowers in axillary cymes; leaves yield a bitter extract use medicinally and as flavoring"
"marrubium vulgare","European aromatic herb with hairy leaves and numerous white flowers in axillary cymes; leaves yield a bitter extract use medicinally and as flavoring"
"white horehound","European aromatic herb with hairy leaves and numerous white flowers in axillary cymes; leaves yield a bitter extract use medicinally and as flavoring"
"mentha piperita","herb with downy leaves and small purple or white flowers that yields a pungent oil used as a flavoring"
"peppermint","herb with downy leaves and small purple or white flowers that yields a pungent oil used as a flavoring"
"mentha spicata","common garden herb having clusters of small purplish flowers and yielding an oil used as a flavoring"
"spearmint","common garden herb having clusters of small purplish flowers and yielding an oil used as a flavoring"
"micromeria chamissonis","trailing perennial evergreen herb of northwestern United States with small white flowers; used medicinally"
"micromeria douglasii","trailing perennial evergreen herb of northwestern United States with small white flowers; used medicinally"
"satureja douglasii","trailing perennial evergreen herb of northwestern United States with small white flowers; used medicinally"
"yerba buena","trailing perennial evergreen herb of northwestern United States with small white flowers; used medicinally"
"common basil","annual or perennial of tropical Asia having spikes of small white flowers and aromatic leaves; one of the most important culinary herbs; used in salads, casseroles, sauces and some liqueurs"
"ocimum basilicum","annual or perennial of tropical Asia having spikes of small white flowers and aromatic leaves; one of the most important culinary herbs; used in salads, casseroles, sauces and some liqueurs"
"sweet basil","annual or perennial of tropical Asia having spikes of small white flowers and aromatic leaves; one of the most important culinary herbs; used in salads, casseroles, sauces and some liqueurs"
"rosemary","widely cultivated for its fragrant grey-green leaves used in cooking and in perfumery"
"rosmarinus officinalis","widely cultivated for its fragrant grey-green leaves used in cooking and in perfumery"
"clary sage","stout Mediterranean sage with white or pink or violet flowers; yields oil used as a flavoring and in perfumery"
"salvia clarea","stout Mediterranean sage with white or pink or violet flowers; yields oil used as a flavoring and in perfumery"
"common sage","shrubby plant with aromatic greyish-green leaves used as a cooking herb"
"ramona","shrubby plant with aromatic greyish-green leaves used as a cooking herb"
"salvia officinalis","shrubby plant with aromatic greyish-green leaves used as a cooking herb"
"genus scopolia","genus of European perennial herbs yielding medicinal alkaloids"
"scopolia","genus of European perennial herbs yielding medicinal alkaloids"
"angelica archangelica","a biennial cultivated herb; its stems are candied and eaten and its roots are used medicinally"
"archangel","a biennial cultivated herb; its stems are candied and eaten and its roots are used medicinally"
"garden angelica","a biennial cultivated herb; its stems are candied and eaten and its roots are used medicinally"
"anise","native to Egypt but cultivated widely for its aromatic seeds and the oil from them used medicinally and as a flavoring in cookery"
"anise plant","native to Egypt but cultivated widely for its aromatic seeds and the oil from them used medicinally and as a flavoring in cookery"
"pimpinella anisum","native to Egypt but cultivated widely for its aromatic seeds and the oil from them used medicinally and as a flavoring in cookery"
"armillaria ponderosa","a large white mushroom that develops brown stains as it ages; gills are white; odor is spicy and aromatic; collected commercially for oriental cooking the Pacific Northwest"
"white matsutake","a large white mushroom that develops brown stains as it ages; gills are white; odor is spicy and aromatic; collected commercially for oriental cooking the Pacific Northwest"
